recording	collection	word	speaker_lang	context	prompt	token_times_gold	pre_phones_gold	pre_times_gold	v_phones_gold	v_times_gold	post_phones_gold	post_times_gold	token_times_mfa	pre_phones_mfa	pre_times_mfa	v_phones_mfa	v_times_mfa	post_phones_mfa	post_times_mfa
013675-1160046	samromur_unverified_22.07	kisa	L1	Þetta var sætasta og besta [_TOKEN_] sem hann hafði nokkru sinni séð.	Þetta var sætasta og besta kisa sem hann hafði nokkru sinni séð.	2.24-2.6257626807703325	cʰ	2.24-2.33	ɪː	2.33-2.4586784301617985	s	2.4586784301617985-2.55	2.24-2.61	cʰ	2.24-2.33	ɪː	2.33-2.45	s	2.45-2.55
022187-1766855	samromur_unverified_22.07	kisa	L1	GUÐMUNDUR: [_TOKEN_] er búin að eignast kettlinga.	GUÐMUNDUR: Kisa er búin að eignast kettlinga.	1.92-2.37	cʰ	1.92-2.02	ɪː	2.02-2.1788021504510304	s	2.1788021504510304-2.3	1.92-2.37	cʰ	1.92-2.02	ɪː	2.02-2.17	s	2.17-2.3
014837-1174382	samromur_unverified_22.07	kisa	L1	Mamma getur þá hengt upp tauið og [_TOKEN_] verið í friði.	Mamma getur þá hengt upp tauið og kisa verið í friði.	2.2-2.63	cʰ	2.2-2.3	ɪː	2.3-2.42	s	2.42-2.52	2.2-2.63	cʰ	2.2-2.3	ɪː	2.3-2.42	s	2.42-2.52
016590-0868214	samromur_unverified_22.07	kisa	L1	En má [_TOKEN_] ættleiða konu	En má kisa ættleiða konu	1.01-1.5	cʰ	1.01-1.11	ɪː	1.11-1.2684236513817297	s	1.2684236513817297-1.38	1.01-1.5	cʰ	1.01-1.11	ɪː	1.11-1.25	s	1.25-1.38
012592-1038612	samromur_unverified_22.07	kisa	L1	Heimsins háværasta [_TOKEN_]	Heimsins háværasta kisa	1.5-1.87	cʰ	1.5-1.61	ɪː	1.61-1.69	s	1.69-1.82	1.5-1.87	cʰ	1.5-1.61	ɪː	1.61-1.69	s	1.69-1.82
014224-1906146	samromur_unverified_22.07	kisa	L1	Hvolpurinn er einmana og óduglegur, en [_TOKEN_] er dugleg og skynsöm.	Hvolpurinn er einmana og óduglegur, en kisa er dugleg og skynsöm.	2.6-2.99	cʰ	2.6-2.71	ɪː	2.71-2.83	s	2.83-2.95	2.6-2.99	cʰ	2.6-2.71	ɪː	2.71-2.83	s	2.83-2.95
008705-0110732	samromur_21.05	kisa	L1	Heimsins háværasta [_TOKEN_]	Heimsins háværasta kisa	2.3-2.85	cʰ	2.3-2.41	ɪː	2.41-2.55	s	2.55-2.72	2.3-2.85	cʰ	2.3-2.41	ɪː	2.41-2.55	s	2.55-2.72
015363-1328492	samromur_unverified_22.07	kisa	L1	Sjáðu fuglinn þarna, sjáðu blómið hérna hvað er hún [_TOKEN_] nú að gera?	Sjáðu fuglinn þarna, sjáðu blómið hérna hvað er hún kisa nú að gera?	5.27-5.66	cʰ	5.27-5.38	ɪː	5.38-5.482577118234536	s	5.482577118234536-5.6	5.27-5.66	cʰ	5.27-5.38	ɪː	5.38-5.47	s	5.47-5.6
010995-0289972	samromur_L2_22.09	bera	L2	Tilvalið er að [_TOKEN_] þetta fram með soðnum hrísgrjón um.	Tilvalið er að bera þetta fram með soðnum hrísgrjón um.	1.62-1.87	p	1.62-1.67	ɛː	1.67-1.79	r	1.79-1.83	1.62-1.87	p	1.62-1.67	ɛː	1.67-1.79	r	1.79-1.83
026293-2078210	samromur_L2_22.09	bera	L2	Ættu þeir því einnig að [_TOKEN_] tapið.	Ættu þeir því einnig að bera tapið.	3.11-3.44	p	3.11-3.15	ɛː	3.15-3.3	r	3.3-3.38	3.11-3.44	p	3.11-3.15	ɛː	3.15-3.3	r	3.3-3.38
025930-2004047	samromur_L2_22.09	bera	L2	En aðalatriðið er það að hann vill [_TOKEN_] sig vel.	En aðalatriðið er það að hann vill bera sig vel.	3.01-3.29	p	3.01-3.06	ɛː	3.06-3.16	r	3.16-3.2	3.01-3.29	p	3.01-3.06	ɛː	3.06-3.16	r	3.16-3.2
016170-0873593	samromur_L2_22.09	bera	L2	Æ, bíllinn hlýtur að [_TOKEN_] þetta allt saman.	Æ, bíllinn hlýtur að bera þetta allt saman.	2.87-3.32	p	2.87-2.93	ɛː	2.93-3.03	r	3.03-3.08	2.87-3.32	p	2.87-2.93	ɛː	2.93-3.03	r	3.03-3.08
011091-0292097	samromur_L2_22.09	bera	L2	Hann reyndi að [_TOKEN_] sig vel.	Hann reyndi að bera sig vel.	1.88-2.17	p	1.88-1.95	ɛː	1.95-2.01	r	2.01-2.079242783215911	1.88-2.17	p	1.88-1.95	ɛː	1.95-2.01	r	2.01-2.05
017876-1114864	samromur_L2_22.09	bera	L2	Til að vera hjá þér allt vildi ég [_TOKEN_]	Til að vera hjá þér allt vildi ég bera.	3.03-3.36	p	3.03-3.06	ɛː	3.06-3.19	r	3.19-3.2477464305754715	3.03-3.36	p	3.03-3.06	ɛː	3.06-3.19	r	3.19-3.24
025121-2776403	samromur_L2_22.09	bera	L2	Fljótlega fór að [_TOKEN_] á kólnun vatnsins.	Fljótlega fór að bera á kólnun vatnsins.	1.79-2.27	p	1.79-1.85	ɛː	1.85-2.02	r	2.02-2.1093338963549075	1.79-2.27	p	1.79-1.85	ɛː	1.85-2.02	r	2.02-2.09
025930-2732944	samromur_L2_22.09	bera	L2	[_TOKEN_] því miður ekki við, vegna sýningar Sigurðar Guðmundssonar.	Bera því miður ekki við, vegna sýningar Sigurðar Guðmundssonar.	0.7-1.04	p	0.7-0.75	ɛː	0.75-0.9	r	0.9-0.94	0.7-1.04	p	0.7-0.75	ɛː	0.75-0.9	r	0.9-0.94
018110-1218727	samromur_L2_22.09	bera	L2	Með þessum rétti er best að [_TOKEN_] fram kartöflur.	Með þessum rétti er best að bera fram kartöflur.	2.41-2.7	p	2.41-2.46	ɛː	2.46-2.6	r	2.6-2.6692057144800456	2.41-2.7	p	2.41-2.46	ɛː	2.46-2.6	r	2.6-2.64
025121-2855516	samromur_L2_22.09	bera	L2	STRÁKAR MÍNIR, ÞAÐ ER MEIRA AÐ [_TOKEN_]	STRÁKAR MÍNIR, ÞAÐ ER MEIRA AÐ BERA.	2.46-3.06	p	2.46-2.5	ɛː	2.5-2.74	r	2.74-2.8371301770117157	2.46-3.06	p	2.46-2.5	ɛː	2.5-2.74	r	2.74-2.81
025930-3088975	samromur_L2_22.09	bera	L2	Þannig fæst safn veira sem [_TOKEN_] mismunandi búta.	Þannig fæst safn veira sem bera mismunandi búta.	2.35-2.66	p	2.35-2.41	ɛː	2.41-2.53	r	2.53-2.592704475289236	2.35-2.66	p	2.35-2.41	ɛː	2.41-2.53	r	2.53-2.57
025930-2380720	samromur_L2_22.09	bera	L2	Tilvalið er að [_TOKEN_] þetta fram með soðnum hrísgrjón um.	Tilvalið er að bera þetta fram með soðnum hrísgrjón um.	2.23-2.51	p	2.23-2.3	ɛː	2.3-2.39	r	2.39-2.43932275528169	2.23-2.51	p	2.23-2.3	ɛː	2.3-2.39	r	2.39-2.43
010906-0289901	samromur_L2_22.09	bera	L2	Við reynum að láta lítið á okkur [_TOKEN_]	Við reynum að láta lítið á okkur bera.	2.64-3.1	p	2.64-2.69	ɛː	2.69-2.85	r	2.85-2.9228756610307833	2.64-3.1	p	2.64-2.69	ɛː	2.69-2.85	r	2.85-2.9
023871-1731775	samromur_L2_22.09	bera	L2	Á þessu tók að [_TOKEN_] síðasta árið í Tröllanesi.	Á þessu tók að bera síðasta árið í Tröllanesi.	3.26-3.74	p	3.26-3.3188052984486673	ɛː	3.3188052984486673-3.61	r	3.61-3.65	3.26-3.74	p	3.26-3.31	ɛː	3.31-3.61	r	3.61-3.65
024914-2096433	samromur_L2_22.09	bera	L2	[_TOKEN_] því miður ekki við, vegna sýningar Sigurðar Guðmundssonar.	Bera því miður ekki við, vegna sýningar Sigurðar Guðmundssonar.	0.65-1.0749670067232309	p	0.65-0.7	ɛː	0.7-0.93	r	0.93-0.9865752433725966	0.65-1.05	p	0.65-0.7	ɛː	0.7-0.93	r	0.93-0.98
025930-2142116	samromur_L2_22.09	bera	L2	Mér sýndist ég sjá væng [_TOKEN_] við skógarjaðarinn sagði Haraldur.	Mér sýndist ég sjá væng bera við skógarjaðarinn sagði Haraldur.	2.78-3.1	p	2.78-2.84	ɛː	2.84-2.94	r	2.94-2.9822587022132794	2.78-3.1	p	2.78-2.84	ɛː	2.84-2.94	r	2.94-2.97
011070-0291457	samromur_L2_22.09	bera	L2	Einn má hann [_TOKEN_] sína byrði.	Einn má hann bera sína byrði.	2.0-2.21	p	2.0-2.05	ɛː	2.05-2.12	r	2.12-2.16	2.0-2.21	p	2.0-2.05	ɛː	2.05-2.12	r	2.12-2.16
025930-3008097	samromur_L2_22.09	bera	L2	[_TOKEN_] höfuðið hátt, leyfa henni að slá.	Bera höfuðið hátt, leyfa henni að slá.	0.41-0.7607277847183099	p	0.41-0.45	ɛː	0.45-0.588031813859456	r	0.588031813859456-0.65	0.41-0.7	p	0.41-0.45	ɛː	0.45-0.58	r	0.58-0.65
025902-1997306	samromur_L2_22.09	bera	L2	eða teldi sig [_TOKEN_] kennsl á.	eða teldi sig bera kennsl á.	1.59-1.96	p	1.59-1.65	ɛː	1.65-1.77	r	1.77-1.81	1.59-1.96	p	1.59-1.65	ɛː	1.65-1.77	r	1.77-1.81
025930-2110897	samromur_L2_22.09	bera	L2	Einn má hann [_TOKEN_] sína byrði.	Einn má hann bera sína byrði.	2.51-2.77	p	2.51-2.56	ɛː	2.56-2.64	r	2.64-2.67	2.51-2.77	p	2.51-2.56	ɛː	2.56-2.64	r	2.64-2.67
025032-2308357	samromur_unverified_22.07	snemma	L1	Þau vöknuðu venju fremur [_TOKEN_] daginn eftir til að undirbúa söluna.	Þau vöknuðu venju fremur snemma daginn eftir til að undirbúa söluna.	2.73-3.23	s t n	2.73-2.83,2.83-2.88,2.88-2.92	ɛ	2.92-3.0	m	3.0-3.11	2.73-3.23	s t n	2.73-2.83,2.83-2.88,2.88-2.92	ɛ	2.92-3.0	m	3.0-3.11
015224-1182239	samromur_unverified_22.07	snemma	L1	[_TOKEN_] vors erum við svo á ferð um Skagafjörðinn, ég, Alda og Árni.	Snemma vors erum við svo á ferð um Skagafjörðinn, ég, Alda og Árni.	2.46-2.88	s t n	2.46-2.5309058295688622,2.5309058295688622-2.56,2.56-2.5896250271728305	ɛ	2.5896250271728305-2.687012964662339	m	2.687012964662339-2.77	2.46-2.88	s t n	2.46-2.49,2.49-2.56,2.56-2.63	ɛ	2.63-2.66	m	2.66-2.77
024922-1897280	samromur_unverified_22.07	snemma	L1	[_TOKEN_] vors erum við svo á ferð um Skagafjörðinn, ég, Alda og Árni.	Snemma vors erum við svo á ferð um Skagafjörðinn, ég, Alda og Árni.	0.57-1.0037544086471766	s t n	0.57-0.66,0.66-0.7,0.7-0.76	ɛ	0.76-0.83	m	0.83-0.91	0.57-1.05	s t n	0.57-0.66,0.66-0.7,0.7-0.76	ɛ	0.76-0.83	m	0.83-0.91
015130-1346694	samromur_unverified_22.07	snemma	L1	Árni eignaðist [_TOKEN_] grammófón og þekkti þannig vel til spænska meistarans.	Árni eignaðist snemma grammófón og þekkti þannig vel til spænska meistarans.	1.4463701078753937-1.88	s t n	1.4463701078753937-1.52,1.52-1.56,1.56-1.6	ɛ	1.6-1.66	m	1.66-1.79	1.48-1.88	s t n	1.48-1.52,1.52-1.56,1.56-1.6	ɛ	1.6-1.66	m	1.66-1.79
023932-1743988	samromur_unverified_22.07	snemma	L1	Venus undan Eyjafjöllum varð alveg dolfallin að sjá sinn mann á fótum svona [_TOKEN_]	Venus undan Eyjafjöllum varð alveg dolfallin að sjá sinn mann á fótum svona snemma.	6.62-7.01	s t n	6.62-6.71,6.71-6.74,6.74-6.769203142796841	ɛ	6.769203142796841-6.81	m	6.81-6.92	6.62-7.01	s t n	6.62-6.71,6.71-6.74,6.74-6.78	ɛ	6.78-6.81	m	6.81-6.92
019306-1387390	samromur_unverified_22.07	snemma	L1	Venus undan Eyjafjöllum varð alveg dolfallin að sjá sinn mann á fótum svona [_TOKEN_]	Venus undan Eyjafjöllum varð alveg dolfallin að sjá sinn mann á fótum svona snemma.	4.450281197228152-4.89	s t n	4.450281197228152-4.5,4.5-4.56,4.56-4.59	ɛ	4.59-4.647190864212613	m	4.647190864212613-4.79	4.43-4.89	s t n	4.43-4.5,4.5-4.56,4.56-4.59	ɛ	4.59-4.64	m	4.64-4.79
022883-2329360	samromur_unverified_22.07	snemma	L1	Þau vöknuðu venju fremur [_TOKEN_] daginn eftir til að undirbúa söluna.	Þau vöknuðu venju fremur snemma daginn eftir til að undirbúa söluna.	2.71-3.31	s t n	2.71-2.82,2.82-2.87,2.87-2.93	ɛ	2.93-3.0	m	3.0-3.14	2.71-3.31	s t n	2.71-2.82,2.82-2.87,2.87-2.93	ɛ	2.93-3.0	m	3.0-3.14
022413-1596637	samromur_unverified_22.07	snemma	L1	Klukkuólánið var náttúrlega orðin allt of margt og hann sem þurfti að vakna [_TOKEN_]	Klukkuólánið var náttúrlega orðin allt of margt og hann sem þurfti að vakna snemma.	7.984027542347031-8.4	s t n	7.984027542347031-8.04,8.04-8.07,8.07-8.1	ɛ	8.1-8.14	m	8.14-8.23	7.98-8.4	s t n	7.98-8.04,8.04-8.07,8.07-8.1	ɛ	8.1-8.14	m	8.14-8.23
017125-1093963	samromur_unverified_22.07	snemma	L1	Venus undan Eyjafjöllum varð alveg dolfallin að sjá sinn mann á fótum svona [_TOKEN_]	Venus undan Eyjafjöllum varð alveg dolfallin að sjá sinn mann á fótum svona snemma.	4.73-5.23	s t n	4.73-4.81,4.81-4.88,4.88-4.92	ɛ	4.92-4.979579814643479	m	4.979579814643479-5.13	4.73-5.23	s t n	4.73-4.81,4.81-4.88,4.88-4.92	ɛ	4.92-4.96	m	4.96-5.13
018335-1191381	samromur_unverified_22.07	snemma	L1	Þau vöknuðu venju fremur [_TOKEN_] daginn eftir til að undirbúa söluna.	Þau vöknuðu venju fremur snemma daginn eftir til að undirbúa söluna.	1.998998936542894-2.73	s t n	1.998998936542894-2.164792091185403,2.164792091185403-2.1932196830545676,2.1932196830545676-2.25	ɛ	2.25-2.3211438464658083	m	2.3211438464658083-2.48	1.97-2.73	s t n	1.97-2.14,2.14-2.2,2.2-2.25	ɛ	2.25-2.3	m	2.3-2.48
012040-0308026	samromur_unverified_22.07	snemma	L1	Hjá sumum hefst þetta ferli [_TOKEN_] en seinna hjá öðrum.	Hjá sumum hefst þetta ferli snemma en seinna hjá öðrum.	1.495649244121001-2.12	s t n	1.495649244121001-1.58,1.58-1.63,1.63-1.67	ɛ	1.67-1.74	m	1.74-1.95	1.48-2.12	s t n	1.48-1.58,1.58-1.63,1.63-1.67	ɛ	1.67-1.74	m	1.74-1.95
022146-1537949	samromur_unverified_22.07	snemma	L1	Hjá sumum hefst þetta ferli [_TOKEN_] en seinna hjá öðrum.	Hjá sumum hefst þetta ferli snemma en seinna hjá öðrum.	2.3157881074995577-2.9	s t n	2.3157881074995577-2.39,2.39-2.424067176489039,2.424067176489039-2.46	ɛ	2.46-2.525187298768472	m	2.525187298768472-2.68	2.31-2.9	s t n	2.31-2.39,2.39-2.43,2.43-2.46	ɛ	2.46-2.52	m	2.52-2.68
004584-0035181	samromur_21.05	snemma	L1	Ránlífi kom að líkindum [_TOKEN_] fram í þróun lífs á jörðinni.	Ránlífi kom að líkindum snemma fram í þróun lífs á jörðinni.	3.63-4.43	s t n	3.63-3.74,3.74-3.8,3.8-3.9	ɛ	3.9-3.98	m	3.98-4.25	3.63-4.43	s t n	3.63-3.74,3.74-3.8,3.8-3.9	ɛ	3.9-3.98	m	3.98-4.25
025399-1932636	samromur_unverified_22.07	snemma	L1	Þau vöknuðu venju fremur [_TOKEN_] daginn eftir til að undirbúa söluna.	Þau vöknuðu venju fremur snemma daginn eftir til að undirbúa söluna.	1.79-2.39	s t n	1.79-1.88,1.88-1.93,1.93-1.98	ɛ	1.98-2.071359981535881	m	2.071359981535881-2.23	1.79-2.39	s t n	1.79-1.88,1.88-1.93,1.93-1.98	ɛ	1.98-2.1	m	2.1-2.23
018467-1219549	samromur_unverified_22.07	snemma	L1	Klukkuólánið var náttúrlega orðin allt of margt og hann sem þurfti að vakna [_TOKEN_]	Klukkuólánið var náttúrlega orðin allt of margt og hann sem þurfti að vakna snemma.	6.332509854220019-6.91	s t n	6.332509854220019-6.43,6.43-6.47,6.47-6.5	ɛ	6.5-6.5785601187477525	m	6.5785601187477525-6.78	6.32-6.91	s t n	6.32-6.43,6.43-6.47,6.47-6.5	ɛ	6.5-6.57	m	6.57-6.78
022060-1725130	samromur_unverified_22.07	snemma	L1	Árni eignaðist [_TOKEN_] grammófón og þekkti þannig vel til spænska meistarans.	Árni eignaðist snemma grammófón og þekkti þannig vel til spænska meistarans.	1.6909524099254496-2.09	s t n	1.6909524099254496-1.7618944453242706,1.7618944453242706-1.81,1.81-1.84	ɛ	1.84-1.9	m	1.9-1.99	1.71-2.09	s t n	1.71-1.77,1.77-1.81,1.81-1.84	ɛ	1.84-1.9	m	1.9-1.99
021579-1592213	samromur_unverified_22.07	snemma	L1	[_TOKEN_] vors erum við svo á ferð um Skagafjörðinn, ég, Alda og Árni.	Snemma vors erum við svo á ferð um Skagafjörðinn, ég, Alda og Árni.	0.14-0.61	s t n	0.14-0.24,0.24-0.27,0.27-0.32	ɛ	0.32-0.41	m	0.41-0.51	0.14-0.61	s t n	0.14-0.24,0.24-0.27,0.27-0.32	ɛ	0.32-0.41	m	0.41-0.51
022168-1839014	samromur_unverified_22.07	snemma	L1	Hjá sumum hefst þetta ferli [_TOKEN_] en seinna hjá öðrum.	Hjá sumum hefst þetta ferli snemma en seinna hjá öðrum.	2.46-2.96	s t n	2.46-2.53,2.53-2.61,2.61-2.67	ɛ	2.67-2.72	m	2.72-2.88	2.46-2.96	s t n	2.46-2.53,2.53-2.61,2.61-2.67	ɛ	2.67-2.72	m	2.72-2.88
025047-1907925	samromur_unverified_22.07	snemma	L1	Klukkuólánið var náttúrlega orðin allt of margt og hann sem þurfti að vakna [_TOKEN_]	Klukkuólánið var náttúrlega orðin allt of margt og hann sem þurfti að vakna snemma.	5.56-6.06	s t n	5.56-5.65,5.65-5.68,5.68-5.72	ɛ	5.72-5.78	m	5.78-5.94	5.56-6.06	s t n	5.56-5.65,5.65-5.68,5.68-5.72	ɛ	5.72-5.78	m	5.78-5.94
018058-1119478	samromur_unverified_22.07	snemma	L1	Árni eignaðist [_TOKEN_] grammófón og þekkti þannig vel til spænska meistarans.	Árni eignaðist snemma grammófón og þekkti þannig vel til spænska meistarans.	2.2279729836007127-2.6	s t n	2.2279729836007127-2.2947681321397475,2.2947681321397475-2.33,2.33-2.36	ɛ	2.36-2.43	m	2.43-2.51	2.27-2.6	s t n	2.27-2.3,2.3-2.33,2.33-2.36	ɛ	2.36-2.43	m	2.43-2.51
000353-0002422	samromur_21.05	vinnur	L1	Te er líka ágætt en heitt kakó með rjóma [_TOKEN_] kósí vinninginn.	Te er líka ágætt en heitt kakó með rjóma vinnur kósí vinninginn.	4.1-4.52	v	4.1-4.164133778994844	ɪ	4.164133778994844-4.229458091709621	n	4.229458091709621-4.34	4.1-4.52	v	4.1-4.12	ɪ	4.12-4.21	n	4.21-4.34
004364-0041594	samromur_21.05	vinnur	L1	Já, maður [_TOKEN_] auðvitað fyrir ykkur á sunnudagskvöldi, tautaði Steinn.	Já, maður vinnur auðvitað fyrir ykkur á sunnudagskvöldi, tautaði Steinn.	1.01-1.35	v	1.01-1.0511011329467355	ɪ	1.0511011329467355-1.1111938448596792	n	1.1111938448596792-1.2319801958046965	1.01-1.35	v	1.01-1.03	ɪ	1.03-1.1	n	1.1-1.22
000256-0001692	samromur_21.05	vinnur	L1	Áhrif beggja hormóna minna um margt á hvernig drifkerfi sjálfvirka taugakerfisins [_TOKEN_]	Áhrif beggja hormóna minna um margt á hvernig drifkerfi sjálfvirka taugakerfisins vinnur.	4.76-5.09	v	4.76-4.78	ɪ	4.78-4.82	n	4.82-4.91	4.76-5.09	v	4.76-4.78	ɪ	4.78-4.82	n	4.82-4.91
004598-0035476	samromur_unverified_22.07	vinnur	L1	Heimilisfaðirinn [_TOKEN_] erfiðisvinnu þannig að mikið fellur til af þvotti frá honum.	Heimilisfaðirinn vinnur erfiðisvinnu þannig að mikið fellur til af þvotti frá honum.	1.69-2.05	v	1.69-1.7322462951030928	ɪ	1.7322462951030928-1.8	n	1.8-1.93	1.69-2.05	v	1.69-1.71	ɪ	1.71-1.8	n	1.8-1.93
004977-0039610	samromur_21.05	vinnur	L1	Foringinn [_TOKEN_] á nóttunni og við gerum það líka.	Foringinn vinnur á nóttunni og við gerum það líka.	1.26-1.54	v	1.26-1.2928582295246276	ɪ	1.2928582295246276-1.3477900379438716	n	1.3477900379438716-1.43	1.26-1.54	v	1.26-1.28	ɪ	1.28-1.34	n	1.34-1.43
002638-0019804	samromur_21.05	vinnur	L1	Hann [_TOKEN_] í kjarnorkuveri þar sem hann gerir ekkert meira en að sofa.	Hann vinnur í kjarnorkuveri þar sem hann gerir ekkert meira en að sofa.	0.98-1.28	v	0.98-1.011493637242268	ɪ	1.011493637242268-1.07	n	1.07-1.16	0.98-1.28	v	0.98-1.0	ɪ	1.0-1.07	n	1.07-1.16
004748-0041938	samromur_21.05	vinnur	L1	[_TOKEN_] hún ekki í Paradísargarðinum?	Vinnur hún ekki í Paradísargarðinum?	0.56-0.85	v	0.56-0.6273478441795532	ɪ	0.6273478441795532-0.6960302790306414	n	0.6960302790306414-0.78	0.56-0.85	v	0.56-0.58	ɪ	0.58-0.69	n	0.69-0.78
003643-0027895	samromur_21.05	vinnur	L1	Sá sem [_TOKEN_] hrópar orðið „Bingó!“	Sá sem vinnur hrópar orðið „Bingó!“	1.61-1.92	v	1.61-1.6529536037729096	ɪ	1.6529536037729096-1.71	n	1.71-1.8392410107030355	1.61-1.92	v	1.61-1.63	ɪ	1.63-1.71	n	1.71-1.83
002310-0057729	samromur_unverified_22.07	vinnur	L1	Hann [_TOKEN_] of mikið og íbúðin hans er of mannmörg.	Hann vinnur of mikið og íbúðin hans er of mannmörg.	0.46-0.96	v	0.46-0.5071870972938143	ɪ	0.5071870972938143-0.6079307613831614	n	0.6079307613831614-0.79	0.46-0.96	v	0.46-0.48	ɪ	0.48-0.58	n	0.58-0.79
002552-0019126	samromur_21.05	vinnur	L1	Á sumrin [_TOKEN_] hún sem leiðsögumaður á bæði á hestum og í rútuferðum.	Á sumrin vinnur hún sem leiðsögumaður á bæði á hestum og í rútuferðum.	1.91-2.18	v	1.91-1.9421619281572167	ɪ	1.9421619281572167-2.01	n	2.01-2.08	1.91-2.18	v	1.91-1.93	ɪ	1.93-2.01	n	2.01-2.08
001070-0007606	samromur_21.05	vinnur	L1	Ef þú [_TOKEN_] endurtaktu skref.	Ef þú vinnur, endurtaktu skref.	1.05-1.53	v	1.05-1.103783290378007	ɪ	1.103783290378007-1.1758945446735396	n	1.1758945446735396-1.32	1.05-1.53	v	1.05-1.07	ɪ	1.07-1.16	n	1.16-1.32
002696-0027995	samromur_21.05	vinnur	L1	Orðabók Háskólans er stofnun sem [_TOKEN_] að orðfræðilegum rannsóknum.	Orðabók Háskólans er stofnun sem vinnur að orðfræðilegum rannsóknum.	3.3-3.63	v	3.3-3.3369760121348797	ɪ	3.3369760121348797-3.39	n	3.39-3.5	3.3-3.63	v	3.3-3.32	ɪ	3.32-3.39	n	3.39-3.5
000567-0004096	samromur_21.05	vinnur	L1	Þegar stjarna framleiðir orku í kjarna sínum myndast þrýstingur sem [_TOKEN_] gegn þyngdarkraftinum.	Þegar stjarna framleiðir orku í kjarna sínum myndast þrýstingur sem vinnur gegn þyngdarkraftinum.	4.91-5.26	v	4.91-4.948598381121134	ɪ	4.948598381121134-5.0	n	5.0-5.12	4.91-5.26	v	4.91-4.93	ɪ	4.93-5.0	n	5.0-5.12
000228-0001666	samromur_21.05	vinnur	L1	Sá [_TOKEN_] sem fær flest stig.	Sá vinnur sem fær flest stig.	1.65-1.96	v	1.65-1.686378754116552	ɪ	1.686378754116552-1.7504835382660364	n	1.7504835382660364-1.89	1.65-1.96	v	1.65-1.67	ɪ	1.67-1.74	n	1.74-1.89
004829-0038700	samromur_21.05	vinnur	L1	Boðið er svona: þú [_TOKEN_] klukkutíma á dag.	Boðið er svona: þú vinnur klukkutíma á dag.	2.82-3.03	v	2.82-2.8498399242912367	ɪ	2.8498399242912367-2.91	n	2.91-2.94	2.82-3.03	v	2.82-2.84	ɪ	2.84-2.91	n	2.91-2.94
003996-0030695	samromur_21.05	vinnur	L1	Heilinn [_TOKEN_] úr upplýsingum með aðstoð ýmissa boðefna sem bera upplýsingarnar milli taugafrumna.	Heilinn vinnur úr upplýsingum með aðstoð ýmissa boðefna sem bera upplýsingarnar milli taugafrumna.	1.45-1.73	v	1.45-1.4873121599369987	ɪ	1.4873121599369987-1.552141591494845	n	1.552141591494845-1.5971757767754866	1.45-1.73	v	1.45-1.47	ɪ	1.47-1.54	n	1.54-1.59
003546-0027141	samromur_21.05	vinnur	L1	Sá sem [_TOKEN_] við kortagerð kallast kortagerðarmaður.	Sá sem vinnur við kortagerð kallast kortagerðarmaður.	0.71-0.96	v	0.71-0.7441981448668384	ɪ	0.7441981448668384-0.7989885586698167	n	0.7989885586698167-0.89	0.71-0.96	v	0.71-0.73	ɪ	0.73-0.79	n	0.79-0.89
002422-0017945	samromur_21.05	vinnur	L1	Hún [_TOKEN_] jöfnum höndum með málverk, skúlptúra, ljósmyndir, hönnun og innsetningar.	Hún vinnur jöfnum höndum með málverk, skúlptúra, ljósmyndir, hönnun og innsetningar.	1.23-1.6336307542239408	v	1.23-1.2710330979739406	ɪ	1.2710330979739406-1.3316737140249142	n	1.3316737140249142-1.42	1.23-1.7	v	1.23-1.25	ɪ	1.25-1.31	n	1.31-1.42
000373-0024854	samromur_21.05	vinnur	L1	Skrifstofa getur átt annaðhvort við herbergi eða stærra rými þar sem fólk [_TOKEN_]	Skrifstofa getur átt annaðhvort við herbergi eða stærra rými þar sem fólk vinnur.	4.41-4.81	v	4.41-4.442093893184421	ɪ	4.442093893184421-4.48	n	4.48-4.56	4.41-4.81	v	4.41-4.43	ɪ	4.43-4.48	n	4.48-4.56
000228-0001615	samromur_21.05	vinnur	L1	Svona [_TOKEN_] til dæmis krosskóngulóin sem er afar algeng kónguló á Íslandi.	Svona vinnur til dæmis krosskóngulóin sem er afar algeng kónguló á Íslandi.	0.99-1.26	v	0.99-1.01	ɪ	1.01-1.07	n	1.07-1.14	0.99-1.26	v	0.99-1.01	ɪ	1.01-1.07	n	1.07-1.14
030474-3256590	samromur_unverified_22.07	kaggi	L1	Orðið [_TOKEN_] er notað í fleiri en einni merkingu.	Orðið kaggi er notað í fleiri en einni merkingu.	0.25-0.7982761325651282	kʰ	0.25-0.35	a	0.35-0.474504784987611	c	0.474504784987611-0.7229804703377987	0.25-0.47	kʰ	0.25-0.35	a	0.35-0.38	c	0.38-0.44
026227-2065877	samromur_unverified_22.07	kaggi	L1	Orðið [_TOKEN_] er notað í fleiri en einni merkingu.	Orðið kaggi er notað í fleiri en einni merkingu.	0.65-1.11	kʰ	0.65-0.75	a	0.75-0.83	c	0.83-1.01	0.65-1.11	kʰ	0.65-0.75	a	0.75-0.83	c	0.83-1.01
022105-3257560	samromur_unverified_22.07	kaggi	L1	Orðið [_TOKEN_] er notað í fleiri en einni merkingu.	Orðið kaggi er notað í fleiri en einni merkingu.	0.84-1.19	kʰ	0.84-0.9234414678106376	a	0.9234414678106376-1.0033947270136259	c	1.0033947270136259-1.16	0.84-1.19	kʰ	0.84-0.94	a	0.94-0.99	c	0.99-1.16
